SiteID,ProjectCode,TesterID,DATE,TIME,LOT NAME,LOGIN MODE,STOP TIME,RESTART TIME,DOWN TIME,KEYWORD,STATUS,ERROR CODE,ERROR TYPE,ERROR MESSAGE,MESSAGE,
NSTD,KK13,L02ER-16_07LE,25/02/20,08:00:01,123456,OPERATOR,,,,PRODUCTION TIME,20:00:01,,,,PRODUCTION TIME:20:00:01,
NSTD,KK13,L02ER-16_07LE,25/02/20,08:00:01,123456,OPERATOR,,,,DOWN TIME,00:00:00,,,,DOWN TIME:00:00:00,
NSTD,KK13,L02ER-16_07LE,25/02/20,08:00:01,123456,OPERATOR,,,,IDLE TIME,00:00:00,,,,IDLE TIME:00:00:00,
NSTD,KK13,L02ER-16_07LE,25/02/20,08:00:01,123456,OPERATOR,,,,,,,,,,
NSTD,KK13,L02ER-16_07LE,25/02/20,09:00:00,123456,OPERATOR,,,,INPUT,94,,,,:69-FAIL:92-RATE:74%,
NSTD,KK13,L02ER-16_07LE,25/02/20,09:00:00,123456,OPERATOR,,,,FAIL,92,,,,:69-FAIL:92-RATE:74%,
NSTD,KK13,L02ER-16_07LE,25/02/20,09:00:00,123456,OPERATOR,,,,RATE,74%,,,,:69-FAIL:92-RATE:74%,
NSTD,KK13,L02ER-16_07LE,25/02/20,09:00:00,123456,OPERATOR,,,,PRODUCTION TIME LOT,86:17:52,,,,PRODUCTION TIME LOT:86:17:52,
NSTD,KK13,L02ER-16_07LE,25/02/20,09:00:01,123456,OPERATOR,,,,DOWN TIME LOT,55:06:56,,,,DOWN TIME LOT:55:06:56,
NSTD,KK13,L02ER-16_07LE,25/02/20,09:00:01,123456,OPERATOR,,,,IDLE TIME LOT,77:09:03,,,,IDLE TIME LOT:77:09:03,
NSTD,KK13,L02ER-16_07LE,25/02/20,09:00:01,123456,OPERATOR,,,,PRODUCTION TIME,22:12:01,,,,PRODUCTION TIME:22:12:01,
NSTD,KK13,L02ER-16_07LE,25/02/20,09:00:01,123456,OPERATOR,,,,DOWN TIME,00:00:00,,,,DOWN TIME:00:00:00,
NSTD,KK13,L02ER-16_07LE,25/02/20,09:00:01,123456,OPERATOR,,,,IDLE TIME,00:00:00,,,,IDLE TIME:00:00:00,
NSTD,KK13,L02ER-16_07LE,25/02/20,09:00:02,123456,OPERATOR,,,,,,,,,,
NSTD,KK13,L02ER-16_07LE,25/02/20,10:00:00,123456,OPERATOR,,,,INPUT,94,,,,:69-FAIL:92-RATE:74%,
NSTD,KK13,L02ER-16_07LE,25/02/20,10:00:00,123456,OPERATOR,,,,FAIL,92,,,,:69-FAIL:92-RATE:74%,
NSTD,KK13,L02ER-16_07LE,25/02/20,10:00:00,123456,OPERATOR,,,,RATE,74%,,,,:69-FAIL:92-RATE:74%,
NSTD,KK13,L02ER-16_07LE,25/02/20,10:00:00,123456,OPERATOR,,,,PRODUCTION TIME LOT,89:05:52,,,,PRODUCTION TIME LOT:89:05:52,
NSTD,KK13,L02ER-16_07LE,25/02/20,10:00:01,123456,OPERATOR,,,,DOWN TIME LOT,55:06:56,,,,DOWN TIME LOT:55:06:56,
NSTD,KK13,L02ER-16_07LE,25/02/20,10:00:01,123456,OPERATOR,,,,IDLE TIME LOT,77:09:03,,,,IDLE TIME LOT:77:09:03,
NSTD,KK13,L02ER-16_07LE,25/02/20,10:00:01,123456,OPERATOR,,,,PRODUCTION TIME,25:00:01,,,,PRODUCTION TIME:25:00:01,
NSTD,KK13,L02ER-16_07LE,25/02/20,10:00:01,123456,OPERATOR,,,,DOWN TIME,00:00:00,,,,DOWN TIME:00:00:00,
NSTD,KK13,L02ER-16_07LE,25/02/20,10:00:01,123456,OPERATOR,,,,IDLE TIME,00:00:00,,,,IDLE TIME:00:00:00,
NSTD,KK13,L02ER-16_07LE,25/02/20,10:00:02,123456,OPERATOR,,,,,,,,,,
NSTD,KK13,L02ER-16_07LE,25/02/20,10:16:35,123456,OPERATOR,,,,END,,,,,LOT END WORKDONE,
NSTD,KK13,L02ER-16_07LE,25/02/20,11:00:00,123456,OPERATOR,,,,INPUT,94,,,,:69-FAIL:93-RATE:74%,
NSTD,KK13,L02ER-16_07LE,25/02/20,11:00:00,123456,OPERATOR,,,,FAIL,93,,,,:69-FAIL:93-RATE:74%,
NSTD,KK13,L02ER-16_07LE,25/02/20,11:00:00,123456,OPERATOR,,,,RATE,74%,,,,:69-FAIL:93-RATE:74%,
NSTD,KK13,L02ER-16_07LE,25/02/20,11:00:00,123456,OPERATOR,,,,PRODUCTION TIME LOT,89:22:27,,,,PRODUCTION TIME LOT:89:22:27,
NSTD,KK13,L02ER-16_07LE,25/02/20,11:00:01,123456,OPERATOR,,,,DOWN TIME LOT,57:02:21,,,,DOWN TIME LOT:57:02:21,
NSTD,KK13,L02ER-16_07LE,25/02/20,11:00:01,123456,OPERATOR,,,,IDLE TIME LOT,77:09:03,,,,IDLE TIME LOT:77:09:03,
NSTD,KK13,L02ER-16_07LE,25/02/20,11:00:01,123456,OPERATOR,,,,PRODUCTION TIME,25:16:36,,,,PRODUCTION TIME:25:16:36,
